Marker,Mutation rate
DYF1000,0.035880708
DYF1001,0.048041045
DYF1002,0.016775396
DYF387S1,0.010224215
DYF393S1,0.007136485
DYF399S1,0.062834749
DYF403S1a,0.027253957
DYF403S1b,0.018151354
DYF404S1,0.012512031
DYR88,0.026328162
DYS1003,0.012581547
DYS1005,0.009785648
DYS1007,0.017241379
DYS1010,0.013999067
DYS1012,0.01584343
DYS1013,0.010782935
DYS19,0.001964637
DYS385,0.00752201
DYS389I,0.002392753
DYS389II,0.005477107
DYS390,0.002710027
DYS391,0.002476304
DYS392,0.000770746
DYS393,0.00170911
DYS437,0.001195866
DYS438,0.000256366
DYS439,0.004791649
DYS442,0.007407407
DYS448,0.000838379
DYS449,0.011216776
DYS456,0.004352368
DYS458,0.008537616
DYS460,0.004285714
DYS481,0.004723265
DYS518,0.013288448
DYS526b,0.02464744
DYS533,0.003515152
DYS547,0.014683544
DYS549,0.00415677
DYS570,0.00827857
DYS576,0.012674578
DYS612,0.016267943
DYS626,0.008596713
DYS627,0.014489091
DYS635,0.003835425
DYS643,0.001128032
DYS711,0.026561044
DYS712,0.031098546
DYS713,0.013859275
DYS724,0.048018648
YGATAH4,0.001914209
D1,0.01
